year,imports_trln_USD,imports_mln_metric_tons,exports_trln_USD,exports_mln_metric_tons,balance_trln_USD,balance_mln_metric_tons,ratio_of_total_imports_usd,ratio_of_total_imports_weight
1995,0.00515661,37.38695484,0.00564791,60.66543382,0.00049130,23.27847897,0.01466753,0.01352637
1996,0.00711270,47.62464980,0.00656411,63.86395401,-0.00054858,16.23930422,0.01585753,0.01490766
1997,0.01050519,70.31968402,0.00785018,68.94503999,-0.00265501,-1.37464402,0.02273080,0.02125469
1998,0.00672030,58.66391311,0.00534686,61.61148833,-0.00137344,2.94757523,0.01935315,0.01717672
1999,0.00864463,65.64202296,0.00540426,62.99037586,-0.00324037,-2.65164710,0.02100989,0.01500238
2000,0.02111665,99.64838109,0.00850945,94.23954148,-0.01260720,-5.40883960,0.03258805,0.02773239
2001,0.01804512,95.40223348,0.00828596,116.31368107,-0.00975916,20.91144759,0.03011851,0.02655941
2002,0.01919837,109.99190876,0.00926874,120.88574028,-0.00992963,10.89383152,0.03240428,0.03013798
2003,0.03009996,146.70060653,0.01145350,131.39486921,-0.01864646,-15.30573732,0.04015483,0.03823727
2004,0.04626098,186.29074116,0.01611680,103.01656358,-0.03014418,-83.27417758,0.04664478,0.04551946
2005,0.06261168,195.32021349,0.01777056,109.29877858,-0.04484112,-86.02143491,0.04529861,0.04362740
2006,0.08881563,228.24449823,0.01733917,101.66138843,-0.07147646,-126.58310980,0.05166790,0.04884506
2007,0.10392018,264.92989676,0.01902031,86.26318508,-0.08489987,-178.66671168,0.05487810,0.05598519
2008,0.16573851,278.44805122,0.02706830,84.77090819,-0.13867021,-193.67714303,0.06174867,0.05609064
2009,0.11829093,390.53807871,0.01651311,47.50959034,-0.10177782,-343.02848837,0.06919035,0.09137437
2010,0.18191520,488.12380329,0.01900227,45.34377734,-0.16291292,-442.78002595,0.08305812,0.10607144
2011,0.26864765,561.50275314,0.02088739,38.96219476,-0.24776026,-522.54055838,0.09144328,0.11868216
2012,0.29883575,651.79374608,0.01991371,33.97899376,-0.27892204,-617.81475232,0.09764619,0.13722214
2013,0.30522698,717.36165779,0.02277791,34.86685797,-0.28244907,-682.49479981,0.10381663,0.14913294
2014,0.30767978,699.08739719,0.02429704,39.68402039,-0.28338275,-659.40337680,0.11209022,0.15144941
2015,0.19463629,664.97409194,0.02087374,46.87786542,-0.17376255,-618.09622652,0.11547956,0.13972524
2016,0.17383011,993.83828700,0.02287083,60.77685791,-0.15095928,-933.06142909,0.12403025,0.18594633
2017,0.24088094,841.36442442,0.02717286,63.81144162,-0.21370808,-777.55298280,0.13436676,0.15840046
2018,0.33280576,905.38489006,0.03498111,67.27231367,-0.29782466,-838.11257639,0.14838937,0.17545639
2019,0.33499918,999.74932954,0.03702114,84.18152780,-0.29797804,-915.56780174,0.16652072,0.17485059
2020,0.25507117,1037.00472347,0.02467703,62.07839202,-0.23039414,-974.92633145,0.19108357,0.19891600
2021,0.37861125,1021.58010796,0.03563071,64.95100155,-0.34298054,-956.62910640,0.17055049,0.20126297
2022,0.50679479,947.66939407,0.05071885,62.68023336,-0.45607594,-884.98916071,0.14163831,0.18884370
2023,0.49040044,1114.40308639,0.05233976,72.40044268,-0.43806067,-1042.00264371,0.18396648,0.21384179
