year,imports_trln_USD,imports_mln_metric_tons,exports_trln_USD,exports_mln_metric_tons,balance_trln_USD,balance_mln_metric_tons
1995,0.00006306,0.56195205,0.01369084,101.17109770,0.01362778,100.60914565
1996,0.00028093,2.08579910,0.01664312,110.01988781,0.01636219,107.93408871
1997,0.00040443,4.15544558,0.01494799,106.37307827,0.01454356,102.21763269
1998,0.00025283,2.68681858,0.01068848,113.75099246,0.01043565,111.06417388
1999,0.00037184,2.85606328,0.01458960,144.22271703,0.01421776,141.36665374
2000,0.00051839,3.97983451,0.02160055,117.16850136,0.02108216,113.18866685
2001,0.00058470,3.21896580,0.01860939,110.55814860,0.01802469,107.33918280
2002,0.00064978,3.89332503,0.01523964,92.53451861,0.01458986,88.64119358
2003,0.00175249,7.46847434,0.02282933,115.71798516,0.02107684,108.24951081
2004,0.00344099,11.51535331,0.02905135,115.01497189,0.02561036,103.49961858
2005,0.00434699,10.42007322,0.03893725,115.59298154,0.03459027,105.17290832
2006,0.00391393,8.77799794,0.05463178,123.42240409,0.05071785,114.64440615
2007,0.00351185,7.82118739,0.06354753,130.95126154,0.06003568,123.13007415
2008,0.00311935,4.70973578,0.08700655,125.03815803,0.08388720,120.32842224
2009,0.00161679,4.13926992,0.05327921,123.92163939,0.05166242,119.78236947
2010,0.00213355,4.04337847,0.06859497,126.08625148,0.06646142,122.04287302
2011,0.00144561,2.95008408,0.09670678,129.44436960,0.09526117,126.49428552
2012,0.00056113,1.09599385,0.06017928,75.36281036,0.05961816,74.26681651
2013,0.00087590,2.03758017,0.04465387,61.77975948,0.04377797,59.74217930
2014,0.00086280,1.80038587,0.04933799,69.50744166,0.04847519,67.70705578
2015,0.00054356,1.46172377,0.02679167,66.19785222,0.02624811,64.73612845
2016,0.00045439,0.94898150,0.03579500,107.83125981,0.03534061,106.88227831
2017,0.00074480,1.45599413,0.05088403,129.21272691,0.05013922,127.75673278
2018,0.00059008,1.18620522,0.05659836,117.52047470,0.05600829,116.33426949
2019,0.00047926,1.32751535,0.01647441,32.64750794,0.01599515,31.31999258
2020,0.00047714,1.49622893,0.00975400,5.82363754,0.00927685,4.32740862
2021,0.00073617,1.67648021,0.02228517,40.80825396,0.02154900,39.13177375
2022,0.00097405,1.76540131,0.02601380,55.40864268,0.02503976,53.64324137
2023,0.00015998,0.20557096,0.00125427,3.06171347,0.00109429,2.85614250
