year,quantity_mln_metric_tons
1995,6896.82213899
1996,7584.45936741
1997,7919.93632375
1998,7301.92956974
1999,8642.16482058
2000,7706.75395678
2001,7943.84783500
2002,8397.79166761
2003,8629.13479158
2004,9395.67377222
2005,9819.62179031
2006,10533.19484959
2007,10999.08939639
2008,11989.88486157
2009,10425.14451793
2010,12139.65983451
2011,11968.16031232
2012,12909.83608659
2013,13382.70868601
2014,13096.33462362
2015,13475.24220555
2016,14233.49071607
2017,14501.24566809
2018,14239.17660169
2019,15198.43068386
2020,14581.91995421
2021,14717.48013509
2022,14234.10025875
2023,15121.72361332
