year,CHN,DEU,RUS,S19,KOR
1995,16.88633371,10.09679599,3.41986127,5.34509312,-0.75730312
1996,16.64050362,10.15630702,6.55231269,6.24770879,-2.56001699
1997,20.90120600,11.57889651,4.89194942,4.33636730,-0.70059099
1998,20.72807718,10.19651102,4.36612017,4.05895280,7.06406649
1999,20.25639008,10.03722966,5.95276305,3.54514130,4.44065112
2000,18.84360881,8.24865580,6.89331528,3.21721685,2.88315016
2001,20.02570649,9.76328951,6.09490450,5.07427834,2.98567579
2002,20.78535784,12.47970602,5.31600860,5.28619686,2.98279757
2003,19.62333276,13.38059629,5.73198584,4.09561827,3.63118038
2004,20.09150000,13.94193834,6.64872199,3.15065584,4.02153797
2005,23.48203830,11.49344277,7.35093963,3.10978315,2.96935540
2006,25.86894495,10.46408266,6.80374331,2.73917679,3.06830648
2007,26.38940467,12.51480403,5.51817153,4.52202188,2.62660567
2008,27.68387004,10.54290890,5.42401585,3.29831331,1.51868063
2009,30.53626357,10.03336802,7.01466780,4.03353721,4.10286458
2010,31.01852376,8.62049256,6.73582873,2.18789133,3.56418827
2011,26.68199404,8.49352241,7.00059618,1.57019926,3.21889893
2012,30.41009022,9.53036536,6.83404908,1.79057799,2.75128338
2013,29.07869945,10.04455883,6.65157925,2.16883732,3.07030153
2014,33.22794595,10.63180600,7.27245209,3.56551678,2.64252008
2015,43.60208796,10.47127714,6.12002209,4.18166300,4.82822288
2016,42.70336500,10.97250532,4.31849808,4.17349305,4.87680941
2017,38.14923193,9.75503316,4.73690290,4.04446969,5.04930073
2018,35.10063374,9.23467796,7.28690512,3.98226651,3.83370672
2019,35.56826094,8.95826895,6.79656644,3.98584338,3.24250644
2020,38.00188004,7.78372734,4.30573513,5.31203922,3.91439421
2021,35.10951475,5.78164770,6.75375121,4.96112608,2.93086570
2022,34.55420023,1.10702060,8.70174817,4.60507317,1.55539960
2023,35.53501628,5.63324835,5.39945494,5.28053738,4.73680625
